ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
2,Auckland,ASB Classic,13/01/2020,ATP250,Outdoor,Hard,1st Round,3,Querrey S.,Barrere G.,45,82,1080,643,6,7,6,2,7,6,,,,,2,1,Completed,"1,57","2,25","1,63","2,42","1,68","2,65","1,59","2,33"
2,Auckland,ASB Classic,13/01/2020,ATP250,Outdoor,Hard,1st Round,3,Duckworth J.,Delbonis F.,96,73,576,709,6,4,6,4,,,,,,,2,0,Completed,"1,72",2,"1,75","2,19","1,8","2,19","1,73","2,09"
2,Auckland,ASB Classic,14/01/2020,ATP250,Outdoor,Hard,1st Round,3,Paul T.,Bedene A.,90,54,600,950,6,4,6,4,,,,,,,2,0,Completed,"1,83","1,83","1,94","1,94",2,"1,95","1,91","1,88"
2,Auckland,ASB Classic,14/01/2020,ATP250,Outdoor,Hard,1st Round,3,Ramos-Vinolas A.,Thompson J.,42,65,1130,843,6,4,6,7,6,3,,,,,2,1,Completed,"2,25","1,57","2,33","1,67","2,38","1,77","2,27","1,62"
2,Auckland,ASB Classic,14/01/2020,ATP250,Outdoor,Hard,1st Round,3,Struff J.L.,Caruso S.,37,94,1270,586,6,4,6,2,,,,,,,2,0,Completed,"1,28","3,5","1,24","4,44","1,3","5,15","1,23","4,08"
2,Auckland,ASB Classic,14/01/2020,ATP250,Outdoor,Hard,1st Round,3,Bolt A.,Robert S.,157,661,332,30,6,4,2,6,6,0,,,,,2,1,Completed,,,,,"1,44","4,1","1,34","3,2"
2,Auckland,ASB Classic,14/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Evans D.,Bublik A.,33,55,1324,934,7,5,6,2,,,,,,,2,0,Completed,"1,57","2,25","1,7","2,29","1,73","2,35","1,66","2,2"
2,Auckland,ASB Classic,15/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Harris L.,Djere L.,91,40,594,1165,7,6,6,3,,,,,,,2,0,Completed,"1,4","2,75","1,46","2,94","1,53","2,94","1,44","2,75"
2,Auckland,ASB Classic,15/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Rublev A.,Querrey S.,18,45,1799,1080,6,3,6,3,,,,,,,2,0,Completed,"1,66","2,1","1,64","2,42","1,69","2,42","1,62","2,28"
2,Auckland,ASB Classic,15/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Paul T.,Cuevas P.,90,44,600,1097,6,1,6,2,,,,,,,2,0,Completed,"1,5","2,5","1,52","2,74","1,54","2,75","1,49","2,6"
2,Auckland,ASB Classic,15/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Carreno Busta P.,Chardy J.,30,56,1377,920,6,3,6,2,,,,,,,2,0,Completed,"1,83","1,83","1,85","2,06","1,91","2,06","1,83","1,96"
2,Auckland,ASB Classic,15/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Ramos-Vinolas A.,Munar J.,42,88,1130,608,7,6,6,3,,,,,,,2,0,Completed,"1,66","2,1","1,81","2,11","1,81","2,38","1,69","2,16"
2,Auckland,ASB Classic,15/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Bolt A.,Struff J.L.,157,37,332,1270,6,3,6,4,,,,,,,2,0,Completed,4,"1,22","3,83","1,31","4,49","1,33","3,84","1,26"
